Time Rest,Time Graphql,Package Size Rest,Package Size Graphql
252,321,18773,4019
217,154,18923,4019
201,286,18923,4019
193,167,18923,4019
148,184,18401,4019
211,198,18362,3980
153,171,18362,3980
