Time Rest,Time Graphql,Package Size Rest,Package Size Graphql
128,183,1245,398
102,137,1263,445
107,168,1260,442
119,198,1260,442
72,99,1264,460
90,126,1255,447
83,122,999,478
112,158,1261,457
